Content,UniqueID,CSVFilename
"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",rawdata_0001,rawdata_0001.csv
"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",rawdata_0002,rawdata_0002.csv
"With his interest in race cars, he formed a second company, the Henry Ford Company.",rawdata_0003,rawdata_0003.csv
"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",rawdata_0004,rawdata_0004.csv
"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",rawdata_0005,rawdata_0005.csv
"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",rawdata_0006,rawdata_0006.csv
"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",rawdata_0007,rawdata_0007.csv
"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",rawdata_0008,rawdata_0008.csv
"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",rawdata_0009,rawdata_0009.csv
There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,rawdata_0010,rawdata_0010.csv
"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",rawdata_0011,rawdata_0011.csv
"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",rawdata_0012,rawdata_0012.csv
Henry Ford advocated long-time associate Harry Bennett to take the spot.,rawdata_0013,rawdata_0013.csv
"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",rawdata_0014,rawdata_0014.csv
"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",rawdata_0015,rawdata_0015.csv
"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",rawdata_0016,rawdata_0016.csv
He is of three quarters Irish and one quarter French descent.,rawdata_0017,rawdata_0017.csv
"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",rawdata_0018,rawdata_0018.csv
"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",rawdata_0019,rawdata_0019.csv
He was married to actress Kim Basinger from 1993 to 2002.,rawdata_0020,rawdata_0020.csv
"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",rawdata_0021,rawdata_0021.csv
"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",rawdata_0022,rawdata_0022.csv
He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,rawdata_0023,rawdata_0023.csv
"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",rawdata_0024,rawdata_0024.csv
"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",rawdata_0025,rawdata_0025.csv
"Rosemary Clooney (May 23, 1928 - June 29, 2002) was an American popular singer and actress.",rawdata_0026,rawdata_0026.csv
"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",rawdata_0027,rawdata_0027.csv
"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",rawdata_0028,rawdata_0028.csv
"Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",rawdata_0029,rawdata_0029.csv
"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",rawdata_0030,rawdata_0030.csv
In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,rawdata_0031,rawdata_0031.csv
"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",rawdata_0032,rawdata_0032.csv
"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",rawdata_0033,rawdata_0033.csv
"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",rawdata_0034,rawdata_0034.csv
"In 1964 she went to Reprise again, shifting the next year to Dot Records.",rawdata_0035,rawdata_0035.csv
In 1966 she went to United Artists Records.,rawdata_0036,rawdata_0036.csv
"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",rawdata_0037,rawdata_0037.csv
"Michael McManus (born February 5, 1959) is a syndicated columnist who wrote Ethics & Religion.",rawdata_0038,rawdata_0038.csv
"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",rawdata_0039,rawdata_0039.csv
"Timothy Bush, Sr. (c. 1728 - c. 1815) - soldier.",rawdata_0040,rawdata_0040.csv
"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",rawdata_0041,rawdata_0041.csv
By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,rawdata_0042,rawdata_0042.csv
"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",rawdata_0043,rawdata_0043.csv
"He died in Springport, New York in 1815.",rawdata_0044,rawdata_0044.csv
"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",rawdata_0045,rawdata_0045.csv
Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,rawdata_0046,rawdata_0046.csv
"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",rawdata_0047,rawdata_0047.csv
"Anne Hutchinson (July 17, 1591 - August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.",rawdata_0048,rawdata_0048.csv
"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",rawdata_0049,rawdata_0049.csv
After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,rawdata_0050,rawdata_0050.csv
"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",rawdata_0051,rawdata_0051.csv
